             r1x                 r1y                 r2x                 r2y                 r3x                 r3y                   t    
         -1.00000000          0.00000000          1.00000000          0.00000000          0.00000000          0.00000000          0.00000000
         -0.99646602          0.00532700          1.00340897          0.00532701         -0.00694295         -0.01065400          0.01000000
         -0.99280495          0.01065234          1.00669502          0.01065247         -0.01389006         -0.02130481          0.02000000
         -0.98901468          0.01597427          1.00986018          0.01597494         -0.02084550         -0.03194921          0.03000000
         -0.98509309          0.02129093          1.01290649          0.02129306         -0.02781340         -0.04258399          0.04000000
         -0.98103805          0.02660035          1.01583594          0.02660555         -0.03479789         -0.05320589          0.05000000
         -0.97684742          0.03190043          1.01865049          0.03191122         -0.04180306         -0.06381165          0.06000000
         -0.97251909          0.03718898          1.02135208          0.03720897         -0.04883299         -0.07439795          0.07000000
         -0.96805091          0.04246367          1.02394260          0.04249776         -0.05589169         -0.08496143          0.08000000
         -0.96344078          0.04772204          1.02642392          0.04777665         -0.06298314         -0.09549868          0.09000000
         -0.95868660          0.05296150          1.02879786          0.05304474         -0.07011126         -0.10600624          0.10000000
         -0.95378630          0.05817933          1.03106621          0.05830122         -0.07727991         -0.11648055          0.11000000
         -0.94873784          0.06337270          1.03323071          0.06354532         -0.08449287         -0.12691802          0.12000000
         -0.94353922          0.06853859          1.03529307          0.06877637         -0.09175385         -0.13731496          0.13000000
         -0.93818849          0.07367389          1.03725495          0.07399371         -0.09906646         -0.14766759          0.14000000
         -0.93268376          0.07877531          1.03911798          0.07919677         -0.10643422         -0.15797207          0.15000000
         -0.92702317          0.08383943          1.04088373          0.08438501         -0.11386056         -0.16822444          0.16000000
         -0.92120499          0.08886271          1.04255374          0.08955795         -0.12134875         -0.17842066          0.17000000
         -0.91522752          0.09384141          1.04412950          0.09471516         -0.12890198         -0.18855657          0.18000000
         -0.90908919          0.09877170          1.04561246          0.09985624         -0.13652326         -0.19862794          0.19000000
         -0.90278852          0.10364956          1.04700401          0.10498085         -0.14421549         -0.20863041          0.20000000
         -0.89632415          0.10847087          1.04830553          0.11008865         -0.15198138         -0.21855952          0.21000000
         -0.88969484          0.11323133          1.04951832          0.11517939         -0.15982349         -0.22841072          0.22000000
         -0.88289948          0.11792652          1.05064366          0.12025281         -0.16774418         -0.23817934          0.23000000
         -0.87593714          0.12255190          1.05168277          0.12530871         -0.17574562         -0.24786061          0.24000000
         -0.86880704          0.12710279          1.05263682          0.13034689         -0.18382979         -0.25744968          0.25000000
         -0.86150855          0.13157438          1.05350697          0.13536721         -0.19199842         -0.26694159          0.26000000
         -0.85404126          0.13596176          1.05429430          0.14036954         -0.20025304         -0.27633130          0.27000000
         -0.84640494          0.14025991          1.05499986          0.14535376         -0.20859491         -0.28561368          0.28000000
         -0.83859959          0.14446372          1.05562465          0.15031981         -0.21702506         -0.29478353          0.29000000
         -0.83062542          0.14856798          1.05616965          0.15526760         -0.22554423         -0.30383559          0.30000000
         -0.82248286          0.15256743          1.05663576          0.16019711         -0.23415290         -0.31276454          0.31000000
         -0.81417260          0.15645674          1.05702386          0.16510830         -0.24285126         -0.32156504          0.32000000
         -0.80569560          0.16023054          1.05733479          0.17000115         -0.25163919         -0.33023169          0.33000000
         -0.79705306          0.16388343          1.05756934          0.17487568         -0.26051627         -0.33875911          0.34000000
         -0.78824646          0.16741001          1.05772825          0.17973189         -0.26948179         -0.34714190          0.35000000
         -0.77927755          0.17080488          1.05781223          0.18456981         -0.27853468         -0.35537469          0.36000000
         -0.77014837          0.17406267          1.05782194          0.18938948         -0.28767357         -0.36345215          0.37000000
         -0.76086126          0.17717809          1.05775802          0.19419093         -0.29689676         -0.37136902          0.38000000
         -0.75141883          0.18014587          1.05762104          0.19897423         -0.30620221         -0.37912010          0.39000000
         -0.74182399          0.18296087          1.05741154          0.20373942         -0.31558756         -0.38670029          0.40000000
         -0.73207993          0.18561807          1.05713003          0.20848657         -0.32505010         -0.39410464          0.41000000
         -0.72219015          0.18811256          1.05677697          0.21321574         -0.33458683         -0.40132830          0.42000000
         -0.71215839          0.19043963          1.05635278          0.21792700         -0.34419438         -0.40836663          0.43000000
         -0.70198872          0.19259473          1.05585784          0.22262043         -0.35386912         -0.41521516          0.44000000
         -0.69168541          0.19457354          1.05529249          0.22729608         -0.36360708         -0.42186962          0.45000000
         -0.68125303          0.19637195          1.05465704          0.23195403         -0.37340401         -0.42832598          0.46000000
         -0.67069636          0.19798612          1.05395175          0.23659435         -0.38325539         -0.43458047          0.47000000
         -0.66002043          0.19941249          1.05317686          0.24121709         -0.39315643         -0.44062958          0.48000000
         -0.64923044          0.20064777          1.05233254          0.24582233         -0.40310211         -0.44647010          0.49000000
         -0.63833179          0.20168900          1.05141896          0.25041012         -0.41308716         -0.45209912          0.50000000
         -0.62733006          0.20253355          1.05043621          0.25498050         -0.42310615         -0.45751405          0.51000000
