             r1x                 r1y                 r2x                 r2y                 r3x                 r3y                   t    
         -0.97517610         -0.22143073          1.22380089          0.27788531          2.67690353          0.60783759          0.61000000
         -0.97435906         -0.22499872          1.22277553          0.28236298          2.67466070          0.61763190          0.62000000
         -0.97352896         -0.22856370          1.22173380          0.28683687          2.67238204          0.62741793          0.63000000
         -0.97268582         -0.23212562          1.22067569          0.29130691          2.67006757          0.63719556          0.64000000
         -0.97182964         -0.23568443          1.21960123          0.29577305          2.66771733          0.64696466          0.65000000
         -0.97096044         -0.23924008          1.21851043          0.30023523          2.66533135          0.65672508          0.66000000
         -0.97007824         -0.24279252          1.21740330          0.30469338          2.66290966          0.66647671          0.67000000
         -0.96918304         -0.24634171          1.21627987          0.30914745          2.66045228          0.67621940          0.68000000
         -0.96827485         -0.24988760          1.21514013          0.31359738          2.65795927          0.68595304          0.69000000
         -0.96735369         -0.25343015          1.21398412          0.31804311          2.65543064          0.69567748          0.70000000
         -0.96641957         -0.25696930          1.21281184          0.32248458          2.65286643          0.70539261          0.71000000
         -0.96547250         -0.26050500          1.21162331          0.32692172          2.65026668          0.71509828          0.72000000
         -0.96451249         -0.26403722          1.21041855          0.33135449          2.64763142          0.72479437          0.73000000
         -0.96353957         -0.26756589          1.20919757          0.33578281          2.64496069          0.73448076          0.74000000
         -0.96255373         -0.27109098          1.20796039          0.34020664          2.64225452          0.74415730          0.75000000
         -0.96155499         -0.27461244          1.20670702          0.34462591          2.63951295          0.75382387          0.76000000
         -0.96054338         -0.27813022          1.20543749          0.34904056          2.63673601          0.76348034          0.77000000
         -0.95951889         -0.28164428          1.20415181          0.35345054          2.63392375          0.77312658          0.78000000
         -0.95848155         -0.28515456          1.20284999          0.35785578          2.63107620          0.78276246          0.79000000
         -0.95743136         -0.28866102          1.20153206          0.36225622          2.62819339          0.79238786          0.80000000
         -0.95636835         -0.29216361          1.20019803          0.36665182          2.62527538          0.80200264          0.81000000
         -0.95529253         -0.29566229          1.19884792          0.37104249          2.62232219          0.81160667          0.82000000
         -0.95420390         -0.29915701          1.19748174          0.37542820          2.61933386          0.82119983          0.83000000
         -0.95310249         -0.30264772          1.19609953          0.37980888          2.61631044          0.83078199          0.84000000
         -0.95198831         -0.30613437          1.19470128          0.38418447          2.61325197          0.84035301          0.85000000
         -0.95086138         -0.30961692          1.19328703          0.38855491          2.61015848          0.84991278          0.86000000
         -0.94972170         -0.31309533          1.19185679          0.39292015          2.60703003          0.85946116          0.87000000
         -0.94856931         -0.31656954          1.19041059          0.39728012          2.60386664          0.86899802          0.88000000
         -0.94740420         -0.32003950          1.18894843          0.40163477          2.60066836          0.87852324          0.89000000
         -0.94622640         -0.32350518          1.18747035          0.40598403          2.59743525          0.88803670          0.90000000
         -0.94503592         -0.32696653          1.18597635          0.41032786          2.59416733          0.89753825          0.91000000
         -0.94383278         -0.33042349          1.18446647          0.41466619          2.59086465          0.90702778          0.92000000
         -0.94261699         -0.33387603          1.18294071          0.41899897          2.58752726          0.91650515          0.93000000
         -0.94138858         -0.33732409          1.18139911          0.42332613          2.58415521          0.92597025          0.94000000
         -0.94014755         -0.34076764          1.17984167          0.42764762          2.58074853          0.93542294          0.95000000
         -0.93889393         -0.34420662          1.17826843          0.43196338          2.57730727          0.94486309          0.96000000
         -0.93762772         -0.34764098          1.17667941          0.43627335          2.57383148          0.95429059          0.97000000
         -0.93634896         -0.35107069          1.17507461          0.44057748          2.57032121          0.96370530          0.98000000
         -0.93505764         -0.35449570          1.17345408          0.44487570          2.56677650          0.97310710          0.99000000
         -0.93375381         -0.35791596          1.17181782          0.44916796          2.56319740          0.98249586          1.00000000
         -0.93243745         -0.36133142          1.17016586          0.45345421          2.55958396          0.99187146          1.01000000
         -0.93110861         -0.36474204          1.16849822          0.45773438          2.55593622          1.00123377          1.02000000
